VIN,Vehicle SKU,SKU Description,Veh Production Date,Vehicle Dispatch Date,Sold to Dealer ID,DEALERNAME,CITY,DISTRICT,STATE1,CIRCLE,Latest battery replace Date,Latest Battery ,Flag,Replaced Count,Replaced Batteries,BIN CC,BIN Capacity,BIN BMS Supplier,BIN BMS Mfgr,BIN Cell part no,BIN Battery Config,BIN Pack Supplier,BINARY Data,BIN Mfg Date,BIN Assly Line,BIN Rev,Latest BIN Rev,Org BIN Age when Replaced,JC Date Org BIN Replaced,KMS Org BIN Replaced,JC Date Latest BIN Replaced,KMS L BIN Fitted,Charge Cycles Org BIN,Corrected BAL BIN,Mfg BIN (Chassis Master),Combine Barcode,EOL Date (Exit time),Cell supplier,Org,Corrected
MD2B35307RCE48558,00GL429U,CHETAK 2433 PREMIUM,06-09-2024,13-09-2024,12066C,Bala Bajaj (12066C),Baripada,Mayurbhanj,Odisha,East,Org batt,0006052310210125,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,02-08-2024,1,Org,,,,,,,0,6.05231E+12,0006052310210125,35EVA21ECEV1Z21C2COM020824083324,02-08-2024,EVA,16,13
MD2B35307RCE49385,00GL429S,CHETAK 2433 PREMIUM,06-09-2024,12-09-2024,13704,Gounder Auto Centre (13704),Namakkal,Salem,Tamil Nadu,South,Org batt,6.05231E+12,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,06-08-2024,1,Org,,,,,,,0,6.05231E+12,6.05231E+12,#N/A,#N/A,#N/A,13,13
MD2B35305RCE48607,00GL429V,CHETAK 2433 PREMIUM,06-09-2024,12-09-2024,13649,Sre Sakthi Care(13649),Erode,Erode,Tamil Nadu,South,Org batt,0006052310810225,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,08-08-2024,1,Org,,,,,,,0,6.05231E+12,0006052310810225,35EVA27ECEVOZ21C2COM080824120923,08-08-2024,EVA,16,13
MD2B35303RCE49416,00GL429S,CHETAK 2433 PREMIUM,05-09-2024,12-09-2024,13704,Gounder Auto Centre (13704),Namakkal,Salem,Tamil Nadu,South,Org batt,0006052310310289,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,03-08-2024,1,Org,,,,,,,0,6.05231E+12,0006052310310289,#N/A,#N/A,#N/A,16,13
MD2B35304RCE49022,00GL429V,CHETAK 2433 PREMIUM,13-08-2024,18-09-2024,23139,#N/A,#N/A,#N/A,#N/A,#N/A,Org batt,6.05231E+12,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,04-08-2024,1,Org,,,,,,,0,6.05231E+12,6.05231E+12,35EVA21ECEV0Z21C2COM040824075436,04-08-2024,EVA,13,13
MD2B35302RCE49522,00GL429S,CHETAK 2433 PREMIUM,12-08-2024,22-08-2024,13232,CRYSTAL TRADELINKS(13232),MAPUSA,North Goa,Goa,South,Org batt,6.05231E+12,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,07-08-2024,1,Org,,,,,,,0,6.05231E+12,6.05231E+12,35EVA27ECEVOZ21C2COM070824075702,07-08-2024,EVA,13,13
MD2B35304RCE49537,00GL429S,CHETAK 2433 PREMIUM,12-08-2024,30-08-2024,13503,PIONEER MOTORS (13503),Trivandrum,Trivandrum,Kerala,South,Org batt,6.05231E+12,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,07-08-2024,1,Org,,,,,,,0,6.05231E+12,6.05231E+12,35EVA27ECEVOZ21C2COM070824144939,07-08-2024,EVA,13,13
MD2B35307RCE49564,00GL429S,CHETAK 2433 PREMIUM,12-08-2024,20-08-2024,13649,Sre Sakthi Care(13649),Erode,Erode,Tamil Nadu,South,Org batt,6.05231E+12,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,08-08-2024,1,Org,,,,,,,0,6.05231E+12,6.05231E+12,35EVA27ECEVOZ21C2COM080824072818,08-08-2024,EVA,13,13
MD2B35301RCE49558,00GL429S,CHETAK 2433 PREMIUM,12-08-2024,31-08-2024,13721,Sri Meenakshi Bikes (13721),Karaikudi,Karur,Tamil Nadu,South,Org batt,6.05231E+12,Pristine,0,,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,08-08-2024,1,Org,,,,,,,0,6.05231E+12,6.05231E+12,#N/A,#N/A,#N/A,13,13
MD2B35301RCE49155,00GL429V,CHETAK 2433 PREMIUM,12-08-2024,22-08-2024,13464,KVR AUTOMOBILES PVT LTD(13464),Perinthalmanna,Malapuram,Kerala,South,26-05-2025,0000065329A15619,Refurbished,1,0000065329A15619,6,3.2 kWh,AMP,MINDA,GL405181_35V,FIX,DTPL,1.10001E+13,09-08-2024,1,Org,,258,24-04-2025,3891,24-04-2025,3891,78,6.05231E+12,6.05231E+12,35EVA27ECEVOZ20C2COM080824212108,09-08-2024,EVA,13,13
